"","class","tw","venue"
"330","bat","Kings XI Punjab","Punjab Cricket Association Stadium, Mohali"
"331","bat","Deccan Chargers","Rajiv Gandhi International Stadium, Uppal"
"332","field","Pune Warriors","MA Chidambaram Stadium, Chepauk"
"333","field","Royal Challengers Bangalore","Punjab Cricket Association Stadium, Mohali"
"334","bat","Rajasthan Royals","MA Chidambaram Stadium, Chepauk"
"335","field","Delhi Daredevils","Feroz Shah Kotla"
"336","bat","Mumbai Indians","Wankhede Stadium"
"337","field","Kolkata Knight Riders","Barabati Stadium"
"338","field","Rajasthan Royals","Sawai Mansingh Stadium"
"339","bat","Pune Warriors","Subrata Roy Sahara Stadium"
"340","bat","Kings XI Punjab","Punjab Cricket Association Stadium, Mohali"
"341","bat","Deccan Chargers","Subrata Roy Sahara Stadium"
"342","field","Mumbai Indians","Feroz Shah Kotla"
"343","bat","Kings XI Punjab","MA Chidambaram Stadium, Chepauk"
"344","bat","Kolkata Knight Riders","Eden Gardens"
"345","bat","Delhi Daredevils","Feroz Shah Kotla"
"346","field","Mumbai Indians","Wankhede Stadium"
"347","bat","Chennai Super Kings","MA Chidambaram Stadium, Chepauk"
"348","bat","Deccan Chargers","Barabati Stadium"
"349","bat","Rajasthan Royals","Sawai Mansingh Stadium"
"350","field","Kings XI Punjab","M Chinnaswamy Stadium"
"351","bat","Mumbai Indians","Subrata Roy Sahara Stadium"
"352","bat","Chennai Super Kings","MA Chidambaram Stadium, Chepauk"
"353","bat","Kolkata Knight Riders","Eden Gardens"
"354","bat","Rajasthan Royals","Punjab Cricket Association Stadium, Mohali"
"355","field","Mumbai Indians","Wankhede Stadium"
"356","field","Royal Challengers Bangalore","M Chinnaswamy Stadium"
"357","bat","Delhi Daredevils","Feroz Shah Kotla"
"358","bat","Pune Warriors","Subrata Roy Sahara Stadium"
"359","field","Deccan Chargers","Rajiv Gandhi International Stadium, Uppal"
"360","field","Royal Challengers Bangalore","Wankhede Stadium"
"361","field","Chennai Super Kings","Sawai Mansingh Stadium"
"362","field","Pune Warriors","Subrata Roy Sahara Stadium"
"363","bat","Mumbai Indians","Eden Gardens"
"364","field","Chennai Super Kings","MA Chidambaram Stadium, Chepauk"
"365","bat","Rajasthan Royals","Sawai Mansingh Stadium"
"366","bat","Deccan Chargers","Punjab Cricket Association Stadium, Mohali"
"367","field","Mumbai Indians","M Chinnaswamy Stadium"
"368","field","Chennai Super Kings","Eden Gardens"
"369","bat","Kings XI Punjab","Feroz Shah Kotla"
"370","field","Mumbai Indians","Wankhede Stadium"
"371","field","Kings XI Punjab","Himachal Pradesh Cricket Association Stadium"
"372","field","Delhi Daredevils","Feroz Shah Kotla"
"373","bat","Rajasthan Royals","Rajiv Gandhi International Stadium, Uppal"
"374","field","Delhi Daredevils","Himachal Pradesh Cricket Association Stadium"
"375","bat","Kolkata Knight Riders","Subrata Roy Sahara Stadium"
"376","field","Royal Challengers Bangalore","Rajiv Gandhi International Stadium, Uppal"
"377","bat","Rajasthan Royals","Sawai Mansingh Stadium"
"378","bat","Kolkata Knight Riders","Subrata Roy Sahara Stadium"
"379","field","Mumbai Indians","M Chinnaswamy Stadium"
"380","field","Delhi Daredevils","MA Chidambaram Stadium, Chepauk"
"381","bat","Chennai Super Kings","MA Chidambaram Stadium, Chepauk"
"382","field","Kolkata Knight Riders","Eden Gardens"
"383","field","Mumbai Indians","M Chinnaswamy Stadium"
"384","field","Pune Warriors","Rajiv Gandhi International Stadium, Uppal"
"385","bat","Rajasthan Royals","Feroz Shah Kotla"
"386","bat","Mumbai Indians","MA Chidambaram Stadium, Chepauk"
"387","bat","Pune Warriors","Subrata Roy Sahara Stadium"
"388","bat","Royal Challengers Bangalore","Rajiv Gandhi International Stadium, Uppal"
"389","field","Kolkata Knight Riders","Sawai Mansingh Stadium"
"390","bat","Mumbai Indians","Wankhede Stadium"
"391","field","Chennai Super Kings","Punjab Cricket Association Stadium, Mohali"
"392","field","Royal Challengers Bangalore","M Chinnaswamy Stadium"
"393","bat","Rajasthan Royals","Subrata Roy Sahara Stadium"
"394","bat","Delhi Daredevils","Feroz Shah Kotla"
"395","bat","Mumbai Indians","Wankhede Stadium"
"396","field","Chennai Super Kings","MA Chidambaram Stadium, Chepauk"
"397","bat","Kolkata Knight Riders","Eden Gardens"
"398","field","Rajasthan Royals","Sawai Mansingh Stadium"
"399","bat","Pune Warriors","MA Chidambaram Stadium, Chepauk"
"400","field","Kolkata Knight Riders","Punjab Cricket Association Stadium, Mohali"
"401","field","Royal Challengers Bangalore","M Chinnaswamy Stadium"
"402","field","Pune Warriors","Subrata Roy Sahara Stadium"
"403","bat","Rajasthan Royals","Sawai Mansingh Stadium"
"404","bat","Chennai Super Kings","Feroz Shah Kotla"
"405","bat","Kings XI Punjab","Rajiv Gandhi International Stadium, Uppal"
"406","bat","Kolkata Knight Riders","Eden Gardens"
"407","field","Royal Challengers Bangalore","M Chinnaswamy Stadium"
"408","bat","Mumbai Indians","Feroz Shah Kotla"
"409","field","Kings XI Punjab","Punjab Cricket Association Stadium, Mohali"
"410","bat","Rajasthan Royals","MA Chidambaram Stadium, Chepauk"
"411","field","Pune Warriors","M Chinnaswamy Stadium"
"412","field","Delhi Daredevils","Himachal Pradesh Cricket Association Stadium"
"413","bat","Kolkata Knight Riders","Eden Gardens"
"414","bat","Sunrisers Hyderabad","MA Chidambaram Stadium, Chepauk"
"415","bat","Kings XI Punjab","Eden Gardens"
"416","bat","Sunrisers Hyderabad","Sawai Mansingh Stadium"
"417","bat","Mumbai Indians","Wankhede Stadium"
"418","field","Kolkata Knight Riders","MA Chidambaram Stadium, Chepauk"
"419","field","Pune Warriors","Shaheed Veer Narayan Singh International Stadium"
"420","field","Rajasthan Royals","Sawai Mansingh Stadium"
"421","bat","Mumbai Indians","Wankhede Stadium"
"422","bat","Chennai Super Kings","Subrata Roy Sahara Stadium"
"423","bat","Mumbai Indians","Rajiv Gandhi International Stadium, Uppal"
"424","bat","Kolkata Knight Riders","Shaheed Veer Narayan Singh International Stadium"
"425","bat","Chennai Super Kings","MA Chidambaram Stadium, Chepauk"
"426","bat","Royal Challengers Bangalore","Subrata Roy Sahara Stadium"
"427","bat","Rajasthan Royals","Eden Gardens"
"428","bat","Delhi Daredevils","Rajiv Gandhi International Stadium, Uppal"
"429","field","Kings XI Punjab","M Chinnaswamy Stadium"
"430","bat","Mumbai Indians","Wankhede Stadium"
"431","bat","Pune Warriors","Sawai Mansingh Stadium"
"432","bat","Sunrisers Hyderabad","M Chinnaswamy Stadium"
"433","bat","Delhi Daredevils","Sawai Mansingh Stadium"
"434","bat","Mumbai Indians","Wankhede Stadium"
"435","field","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Uppal"
"436","field","Rajasthan Royals","Punjab Cricket Association Stadium, Mohali"
"437","bat","Kolkata Knight Riders","Subrata Roy Sahara Stadium"
"438","field","Delhi Daredevils","Feroz Shah Kotla"
"439","bat","Pune Warriors","Subrata Roy Sahara Stadium"
"440","field","Kings XI Punjab","Punjab Cricket Association Stadium, Mohali"
"441","field","Kolkata Knight Riders","JSCA International Stadium Complex"
"442","field","Rajasthan Royals","Sawai Mansingh Stadium"
"443","field","Kings XI Punjab","Feroz Shah Kotla"
"444","bat","Sunrisers Hyderabad","Wankhede Stadium"
"445","field","Kolkata Knight Riders","JSCA International Stadium Complex"
"446","bat","Chennai Super Kings","MA Chidambaram Stadium, Chepauk"
"447","field","Rajasthan Royals","Wankhede Stadium"
"448","field","Kings XI Punjab","Punjab Cricket Association Stadium, Mohali"
"449","bat","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Uppal"
"450","field","Mumbai Indians","Himachal Pradesh Cricket Association Stadium"
"451","bat","Pune Warriors","Subrata Roy Sahara Stadium"
"452","field","Chennai Super Kings","M Chinnaswamy Stadium"
"453","bat","Kolkata Knight Riders","Rajiv Gandhi International Stadium, Uppal"
"454","bat","Chennai Super Kings","Feroz Shah Kotla"
"455","bat","Sunrisers Hyderabad","Feroz Shah Kotla"
"456","bat","Rajasthan Royals","Eden Gardens"
"457","bat","Mumbai Indians","Eden Gardens"
"458","bat","Kolkata Knight Riders","Sheikh Zayed Stadium"
"459","field","Royal Challengers Bangalore","Sharjah Cricket Stadium"
"460","bat","Chennai Super Kings","Sheikh Zayed Stadium"
"461","field","Rajasthan Royals","Sheikh Zayed Stadium"
"462","field","Royal Challengers Bangalore","Dubai International Cricket Stadium"
"463","bat","Kolkata Knight Riders","Dubai International Cricket Stadium"
"464","field","Kings XI Punjab","Sharjah Cricket Stadium"
"465","bat","Chennai Super Kings","Sheikh Zayed Stadium"
"466","field","Sunrisers Hyderabad","Sharjah Cricket Stadium"
"467","field","Rajasthan Royals","Dubai International Cricket Stadium"
"468","field","Royal Challengers Bangalore","Sharjah Cricket Stadium"
"469","bat","Sunrisers Hyderabad","Dubai International Cricket Stadium"
"470","bat","Mumbai Indians","Dubai International Cricket Stadium"
"471","field","Rajasthan Royals","Sheikh Zayed Stadium"
"472","field","Kolkata Knight Riders","Sheikh Zayed Stadium"
"473","bat","Mumbai Indians","Sharjah Cricket Stadium"
"474","bat","Sunrisers Hyderabad","Sharjah Cricket Stadium"
"475","field","Kings XI Punjab","Dubai International Cricket Stadium"
"476","bat","Rajasthan Royals","Sheikh Zayed Stadium"
"477","field","Mumbai Indians","Dubai International Cricket Stadium"
"478","bat","Chennai Super Kings","JSCA International Stadium Complex"
"479","bat","Kings XI Punjab","Wankhede Stadium"
"480","field","Rajasthan Royals","Feroz Shah Kotla"
"481","field","Royal Challengers Bangalore","M Chinnaswamy Stadium"
"482","field","Kolkata Knight Riders","Sardar Patel Stadium, Motera"
"483","field","Chennai Super Kings","Feroz Shah Kotla"
"484","field","Royal Challengers Bangalore","Wankhede Stadium"
"485","bat","Delhi Daredevils","Feroz Shah Kotla"
"486","field","Chennai Super Kings","Barabati Stadium"
"487","field","Rajasthan Royals","Sardar Patel Stadium, Motera"
"488","field","Royal Challengers Bangalore","M Chinnaswamy Stadium"
"489","field","Sunrisers Hyderabad","Feroz Shah Kotla"
"490","field","Chennai Super Kings","Wankhede Stadium"
"491","field","Kolkata Knight Riders","Barabati Stadium"
"492","bat","Royal Challengers Bangalore","M Chinnaswamy Stadium"
"493","bat","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Uppal"
"494","bat","Rajasthan Royals","JSCA International Stadium Complex"
"495","field","Delhi Daredevils","M Chinnaswamy Stadium"
"496","field","Kings XI Punjab","Rajiv Gandhi International Stadium, Uppal"
"497","field","Kolkata Knight Riders","Barabati Stadium"
"498","field","Delhi Daredevils","Sardar Patel Stadium, Motera"
"499","bat","Chennai Super Kings","JSCA International Stadium Complex"
"500","bat","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Uppal"
"501","bat","Mumbai Indians","Sardar Patel Stadium, Motera"
"502","field","Kings XI Punjab","Feroz Shah Kotla"
"503","bat","Royal Challengers Bangalore","Rajiv Gandhi International Stadium, Uppal"
"504","field","Kolkata Knight Riders","Eden Gardens"
"505","field","Mumbai Indians","Punjab Cricket Association Stadium, Mohali"
"506","field","Royal Challengers Bangalore","Eden Gardens"
"507","field","Sunrisers Hyderabad","JSCA International Stadium Complex"
"508","field","Delhi Daredevils","Wankhede Stadium"
"509","field","Rajasthan Royals","Punjab Cricket Association Stadium, Mohali"
"510","field","Chennai Super Kings","M Chinnaswamy Stadium"
"511","field","Kolkata Knight Riders","Eden Gardens"
"512","field","Kings XI Punjab","Punjab Cricket Association Stadium, Mohali"
"513","field","Mumbai Indians","Wankhede Stadium"
"514","field","Kings XI Punjab","Eden Gardens"
"515","field","Chennai Super Kings","Brabourne Stadium"
"516","field","Chennai Super Kings","Wankhede Stadium"
"517","field","Kolkata Knight Riders","M Chinnaswamy Stadium"
"518","field","Kolkata Knight Riders","Eden Gardens"
"519","field","Delhi Daredevils","MA Chidambaram Stadium, Chepauk"
"520","field","Kings XI Punjab","Maharashtra Cricket Association Stadium"
"521","bat","Chennai Super Kings","MA Chidambaram Stadium, Chepauk"
"522","field","Royal Challengers Bangalore","Eden Gardens"
"523","field","Rajasthan Royals","Feroz Shah Kotla"
"524","field","Mumbai Indians","Wankhede Stadium"
"525","field","Sunrisers Hyderabad","M Chinnaswamy Stadium"
"526","bat","Mumbai Indians","Sardar Patel Stadium, Motera"
"527","field","Kolkata Knight Riders","Eden Gardens"
"528","bat","Kings XI Punjab","Maharashtra Cricket Association Stadium"
"529","field","Rajasthan Royals","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium"
"530","bat","Mumbai Indians","Wankhede Stadium"
"531","bat","Delhi Daredevils","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium"
"532","field","Kolkata Knight Riders","Maharashtra Cricket Association Stadium"
"533","bat","Chennai Super Kings","Sardar Patel Stadium, Motera"
"534","field","Royal Challengers Bangalore","M Chinnaswamy Stadium"
"535","field","Kolkata Knight Riders","Feroz Shah Kotla"
"536","field","Kings XI Punjab","Sardar Patel Stadium, Motera"
"537","field","Kolkata Knight Riders","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium"
"538","field","Royal Challengers Bangalore","M Chinnaswamy Stadium"
"539","field","Mumbai Indians","Feroz Shah Kotla"
"540","field","Royal Challengers Bangalore","Sardar Patel Stadium, Motera"
"541","bat","Mumbai Indians","Wankhede Stadium"
"542","bat","Chennai Super Kings","MA Chidambaram Stadium, Chepauk"
"543","field","Royal Challengers Bangalore","Feroz Shah Kotla"
"544","field","Kings XI Punjab","Punjab Cricket Association Stadium, Mohali"
"545","bat","Kolkata Knight Riders","Eden Gardens"
"546","field","Rajasthan Royals","M Chinnaswamy Stadium"
"547","field","Kolkata Knight Riders","MA Chidambaram Stadium, Chepauk"
"548","field","Delhi Daredevils","Feroz Shah Kotla"
"549","field","Rajasthan Royals","Wankhede Stadium"
"550","field","Royal Challengers Bangalore","M Chinnaswamy Stadium"
"551","field","Chennai Super Kings","Rajiv Gandhi International Stadium, Uppal"
"552","bat","Mumbai Indians","Punjab Cricket Association Stadium, Mohali"
"553","field","Delhi Daredevils","Brabourne Stadium"
"554","bat","Chennai Super Kings","MA Chidambaram Stadium, Chepauk"
"555","field","Sunrisers Hyderabad","Eden Gardens"
"556","bat","Delhi Daredevils","Wankhede Stadium"
"557","field","Kings XI Punjab","M Chinnaswamy Stadium"
"558","field","Rajasthan Royals","Brabourne Stadium"
"559","bat","Chennai Super Kings","MA Chidambaram Stadium, Chepauk"
"560","bat","Kings XI Punjab","Eden Gardens"
"561","bat","Sunrisers Hyderabad","Shaheed Veer Narayan Singh International Stadium"
"562","bat","Royal Challengers Bangalore","Wankhede Stadium"
"563","bat","Chennai Super Kings","MA Chidambaram Stadium, Chepauk"
"564","bat","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Uppal"
"565","bat","Chennai Super Kings","Shaheed Veer Narayan Singh International Stadium"
"566","field","Royal Challengers Bangalore","Punjab Cricket Association Stadium, Mohali"
"567","field","Kolkata Knight Riders","Wankhede Stadium"
"568","bat","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Uppal"
"569","bat","Kings XI Punjab","Punjab Cricket Association Stadium, Mohali"
"570","bat","Rajasthan Royals","Brabourne Stadium"
"571","field","Royal Challengers Bangalore","M Chinnaswamy Stadium"
"572","bat","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Uppal"
"573","bat","Mumbai Indians","Wankhede Stadium"
"574","bat","Royal Challengers Bangalore","Maharashtra Cricket Association Stadium"
"575","field","Chennai Super Kings","JSCA International Stadium Complex"
"576","field","Chennai Super Kings","Eden Gardens"
"577","bat","Mumbai Indians","Wankhede Stadium"
"578","field","Kolkata Knight Riders","Eden Gardens"
"579","field","Gujarat Lions","Punjab Cricket Association IS Bindra Stadium, Mohali"
"580","field","Sunrisers Hyderabad","M Chinnaswamy Stadium"
"581","field","Mumbai Indians","Eden Gardens"
"582","bat","Rising Pune Supergiants","Saurashtra Cricket Association Stadium"
"583","field","Delhi Daredevils","Feroz Shah Kotla"
"584","bat","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Uppal"
"585","field","Gujarat Lions","Wankhede Stadium"
"586","bat","Rising Pune Supergiants","Punjab Cricket Association IS Bindra Stadium, Mohali"
"587","field","Delhi Daredevils","M Chinnaswamy Stadium"
"588","field","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Uppal"
"589","field","Kolkata Knight Riders","Punjab Cricket Association IS Bindra Stadium, Mohali"
"590","field","Mumbai Indians","Wankhede Stadium"
"591","field","Sunrisers Hyderabad","Saurashtra Cricket Association Stadium"
"592","field","Rising Pune Supergiants","Maharashtra Cricket Association Stadium"
"593","field","Mumbai Indians","Feroz Shah Kotla"
"594","field","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Uppal"
"595","bat","Royal Challengers Bangalore","Saurashtra Cricket Association Stadium"
"596","field","Kolkata Knight Riders","Maharashtra Cricket Association Stadium"
"597","field","Kings XI Punjab","Punjab Cricket Association IS Bindra Stadium, Mohali"
"598","field","Rising Pune Supergiants","Rajiv Gandhi International Stadium, Uppal"
"599","field","Delhi Daredevils","Feroz Shah Kotla"
"600","field","Mumbai Indians","Wankhede Stadium"
"601","field","Gujarat Lions","Maharashtra Cricket Association Stadium"
"602","field","Kolkata Knight Riders","Feroz Shah Kotla"
"603","field","Royal Challengers Bangalore","Rajiv Gandhi International Stadium, Uppal"
"604","field","Gujarat Lions","Saurashtra Cricket Association Stadium"
"605","field","Mumbai Indians","Maharashtra Cricket Association Stadium"
"606","field","Kolkata Knight Riders","M Chinnaswamy Stadium"
"607","field","Delhi Daredevils","Saurashtra Cricket Association Stadium"
"608","field","Kings XI Punjab","Eden Gardens"
"609","field","Rising Pune Supergiants","Feroz Shah Kotla"
"610","field","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Uppal"
"611","field","Royal Challengers Bangalore","M Chinnaswamy Stadium"
"612","field","Delhi Daredevils","Punjab Cricket Association IS Bindra Stadium, Mohali"
"613","field","Mumbai Indians","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium"
"614","field","Gujarat Lions","Eden Gardens"
"615","field","Kings XI Punjab","Punjab Cricket Association IS Bindra Stadium, Mohali"
"616","bat","Sunrisers Hyderabad","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium"
"617","field","Mumbai Indians","M Chinnaswamy Stadium"
"618","field","Delhi Daredevils","Rajiv Gandhi International Stadium, Uppal"
"619","bat","Mumbai Indians","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium"
"620","field","Gujarat Lions","M Chinnaswamy Stadium"
"621","bat","Rising Pune Supergiants","Eden Gardens"
"622","bat","Kings XI Punjab","Punjab Cricket Association IS Bindra Stadium, Mohali"
"623","field","Delhi Daredevils","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium"
"624","field","Royal Challengers Bangalore","Eden Gardens"
"625","field","Rising Pune Supergiants","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium"
"626","field","Kings XI Punjab","M Chinnaswamy Stadium"
"627","field","Gujarat Lions","Green Park"
"628","field","Delhi Daredevils","Shaheed Veer Narayan Singh International Stadium"
"629","bat","Kings XI Punjab","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium"
"630","field","Gujarat Lions","Green Park"
"631","field","Sunrisers Hyderabad","Eden Gardens"
"632","field","Royal Challengers Bangalore","Shaheed Veer Narayan Singh International Stadium"
"633","field","Royal Challengers Bangalore","M Chinnaswamy Stadium"
"634","field","Kolkata Knight Riders","Feroz Shah Kotla"
"635","field","Sunrisers Hyderabad","Feroz Shah Kotla"
"636","bat","Sunrisers Hyderabad","M Chinnaswamy Stadium"
